uid,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,Unnamed: 0,kmeans_0,kmeans_1,kmeans_2,kmeans_3,kmeans_4,kmeans_5,kmeans_6,kmeans_7,kmeans_8,kmeans_9,label
kn1,4,1,0,1,2,1,1,0,2,6,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kn2,2,2,0,0,1,0,1,1,0,0,2,0,2,1,1,3,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
kn3,2,8,0,1,1,0,0,1,1,0,1,0,0,0,0,0,2,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0
kn4,5,0,0,0,1,1,1,0,0,0,2,2,2,0,2,1,3,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0
kn5,4,1,0,1,0,0,0,1,5,1,1,0,3,1,0,1,1,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0
kn6,2,3,2,0,1,0,1,0,2,1,2,0,1,2,1,2,4,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0
kn7,2,2,2,0,1,0,4,4,2,0,1,2,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0
kn8,2,3,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,7,0,1,0,0,0,0,0,0,0,0,0
kn9,4,1,0,1,2,0,1,0,1,0,1,1,0,1,2,0,2,6,0,0,8,0,0,0,0,0,0,0,1,0,0,0
kn10,2,1,1,0,0,4,4,3,0,2,1,0,0,0,1,1,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
kn11,4,3,4,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,1,0,0,0
kn12,3,0,3,3,1,1,2,2,2,0,0,2,2,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0
kn13,3,0,1,0,0,2,2,4,1,4,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0
kn14,2,2,1,2,0,0,2,0,0,0,1,0,2,2,3,3,1,1,0,0,13,0,0,0,0,0,0,0,1,0,0,0
kn15,3,1,1,1,1,0,1,1,0,0,1,0,0,3,0,3,1,2,1,0,14,0,0,0,0,0,0,0,1,0,0,0
kn16,7,3,2,1,1,1,2,2,0,0,0,1,1,0,2,0,1,1,0,0,15,0,0,0,0,0,0,0,1,0,0,0
kn17,4,0,0,1,2,2,1,0,2,3,1,2,2,0,1,0,0,1,1,0,16,0,0,0,0,0,0,0,1,0,0,0
kn18,4,3,3,2,2,1,3,1,0,1,0,1,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,1,0,0,0
kn19,7,4,1,2,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0
kn20,2,1,0,0,0,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0
kn21,2,4,0,2,2,0,4,0,3,0,0,0,1,1,2,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0
kn22,2,3,1,0,0,0,3,0,0,0,0,2,1,0,3,2,5,2,0,0,21,0,0,0,0,0,0,0,1,0,0,0
kn23,4,1,0,1,0,0,1,2,2,2,2,2,1,0,2,0,0,0,1,0,22,0,0,0,0,0,0,0,1,0,0,0
kn24,2,2,0,0,3,1,5,1,1,0,3,1,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,1,0,0,0
kn25,2,1,2,0,0,0,1,2,0,0,3,4,1,3,2,0,0,1,0,0,24,0,0,0,0,0,0,0,1,0,0,0
kn26,4,9,0,3,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,25,0,0,0,0,0,0,0,1,0,0,0
kn27,3,1,1,0,0,0,1,0,1,4,4,1,1,3,1,0,0,0,0,0,26,0,0,0,0,0,0,0,1,0,0,0
kn28,4,0,2,2,0,0,2,2,2,2,1,1,2,1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,1,0,0,1
kn29,4,0,0,1,0,1,0,2,0,3,1,3,4,1,1,0,0,0,0,0,28,0,0,0,0,0,0,0,1,0,0,0
