,corr,count,description,max,mean,min,most_ratio,most_value,null,pvalue,status,std
MP0041053,0.02,16887.0,最近1个月03至04点本地被叫次数,17.0,0.1,0.0,0.94,0.0,0.0,0.0,无相关,0.58
MP0041080,0.05,16887.0,最近1个月02至03点通话次数,47.0,0.48,0.0,0.81,0.0,0.0,0.0,无相关,1.78
MP0042067,0.01,16887.0,最近第2个月03至04点漫游被叫次数,8.0,0.03,0.0,0.98,0.0,0.0,0.42,无相关,0.27
MP0042110,-0.0,16892.0,最近第2个月的单日最高通话次数,234.0,27.53,0.0,0.03,18.0,0.0,0.72,无相关,17.57
MP0045048,-0.05,16892.0,最近第5个月被叫联系人数,524.0,45.47,0.0,0.06,0.0,0.0,0.0,无相关,35.14
MP0045110,-0.02,16892.0,最近第5个月的单日最高通话次数,234.0,26.24,0.0,0.06,0.0,0.0,0.02,无相关,18.46
MP0045115,-0.02,16887.0,最近第5个月高频号码（top5）本地通话次数,517.0,5.36,0.0,0.95,0.0,0.0,0.01,无相关,30.8
MP0050003,-0.02,16887.0,最近1星期所在城市数量（排除常住地,11.0,1.13,0.0,0.78,1.0,0.0,0.0,无相关,0.72
MP0050018,-0.01,16892.0,最近1个月漫游主叫次数占比,1.0,0.11,0.0,0.67,0.0,0.0,0.12,无相关,0.26
MP0050028,0.01,16892.0,,1.0,0.82,0.0,0.61,1.0,0.0,0.5,无相关,0.35
MP0050047,0.03,16892.0,最近4个月手机月均单日最高通话率,0.77,0.01,0.0,0.0,0.02,0.0,0.0,无相关,0.03
MP0050048,0.05,16892.0,最近4个月异常时间（23~3点）通话次数占比,0.42,0.04,0.0,0.02,0.0,0.0,0.0,无相关,0.04
MP0110001,0.03,16379.0,检查电话是否长时间关机,1.0,0.65,0.0,0.63,1.0,0.03,0.0,无相关,0.48
MP0110002,-0.01,16892.0,与110的通话次数,89.0,0.21,0.0,0.9,0.0,0.0,0.15,无相关,1.32
MP0110004,0.01,16892.0,与120的通话次数,10.0,0.02,0.0,0.99,0.0,0.0,0.17,无相关,0.18
MP0110006,-0.01,16892.0,与澳门的通话次数,201.0,0.11,0.0,0.98,0.0,0.0,0.46,无相关,2.47
MP0110009,-0.0,16892.0,与银行的通话时长,2502.0,0.73,0.0,1.0,0.0,0.0,0.57,无相关,25.04
MP0110010,-0.02,16892.0,与p2p小贷机构的通话次数,2992.0,60.63,0.0,0.21,0.0,0.0,0.03,无相关,202.03
MP0110011,-0.01,16892.0,与p2p小贷机构的通话时长,524276.0,1199.88,0.0,0.68,0.0,0.0,0.27,无相关,8351.82
MP0110012,0.01,16892.0,是否经常夜间活动,1.0,0.04,0.0,0.96,0.0,0.0,0.42,无相关,0.19
MP0110020,-0.02,16892.0,通话记录中双向通话号码的个数,622.0,58.62,0.0,0.12,0.0,0.0,0.0,无相关,48.1
MP0110021,-0.01,16892.0,通话记录中单向主叫号码个数,1319.0,58.01,0.0,0.11,0.0,0.0,0.21,无相关,58.32
MP0110022,-0.04,16892.0,通话记录中单向被叫号码的个数,1967.0,102.41,0.0,0.11,0.0,0.0,0.0,无相关,91.95
MP0110023,-0.02,16892.0,通话记录中双向通话次数,11504.0,1248.49,0.0,0.12,0.0,0.0,0.05,无相关,1136.92
MP0110024,0.0,16892.0,通话记录中单向主叫通话次数,3335.0,129.94,0.0,0.11,0.0,0.0,0.65,无相关,149.92
MP0110026,-0.0,16892.0,通话记录中双向通话时长,677395.0,13312.82,0.0,0.12,0.0,0.0,0.98,无相关,16356.73
MP0110027,-0.0,16892.0,通话记录中双向通话的平均时间间隔,677395.0,13312.82,0.0,0.12,0.0,0.0,0.98,无相关,16356.73
MP0110029,-0.02,16892.0,p2p类型电话双向通话次数,1405.0,22.27,0.0,0.78,0.0,0.0,0.02,无相关,85.68
MP0110030,-0.0,16892.0,p2p类型电话单向主叫通话次数,323.0,0.61,0.0,0.87,0.0,0.0,0.98,无相关,5.94
MP0110037,-0.04,16887.0,用户在异地的联系人数,1986.0,152.18,0.0,0.27,0.0,0.0,0.0,无相关,164.7
MP0110044,-0.04,16892.0,平均通话时间大于2分钟的号码的个数,2251.0,236.41,0.0,0.04,0.0,0.0,0.0,无相关,160.8
MP0110045,-0.01,16892.0,平均通话时间小于1分钟的号码的个数,3039.0,9.99,0.0,0.95,0.0,0.0,0.28,无相关,61.89
MP0110046,-0.02,16892.0,工作时间主叫电话个数,1489.0,84.44,0.0,0.11,0.0,0.0,0.01,无相关,71.22
MS0050001,-0.0,16380.0,,6817.0,3.75,0.0,0.67,0.0,0.03,0.87,无相关,55.34
MS0050011,0.01,16380.0, ,1.0,0.3,0.0,0.57,0.0,0.03,0.24,无相关,0.43
mp_district_13,0.02,16888.0,,1.0,0.05,0.0,0.95,0.0,0.0,0.03,无相关,0.21
mp_district_41,0.01,16888.0,手机归属地为河南,1.0,0.07,0.0,0.93,0.0,0.0,0.1,无相关,0.26
